no_of_dependents,education,employment_type,income_annum,loan_amount,loan_term,cibil_score,bank_asset_value,loan_status,total_assets,loan_to_income,loan_to_asset
5,Graduate,0,9400000,27900000,4,870,10400000,Approved,10400000,2.9680847906292778,2.6826920497411493
3,Graduate,0,8800000,20400000,8,483,11800000,Rejected,11800000,2.318181554752096,1.7288134128124226
1,Graduate,1,5900000,16700000,16,308,5300000,Rejected,5300000,2.8305079948291536,3.150942801708905
3,Graduate,1,1700000,4900000,16,591,1400000,Approved,1400000,2.882351245675738,3.4999975000017858
1,Not Graduate,0,7000000,23000000,10,886,3600000,Approved,3600000,3.2857138163265978,6.388887114198024
4,Not Graduate,0,1700000,4000000,6,829,1700000,Approved,1700000,2.3529397923883573,2.3529397923883573
0,Not Graduate,0,1500000,4900000,12,651,800000,Approved,800000,3.2666644888903407,6.12499234375957
4,Not Graduate,0,2000000,4700000,18,733,2800000,Approved,2800000,2.3499988250005877,1.6785708290818468
5,Graduate,1,3900000,15500000,12,433,4600000,Rejected,4600000,3.974357955292832,3.369564484877286
1,Graduate,1,900000,3600000,14,713,1200000,Approved,1200000,3.999995555560494,2.9999975000020833
1,Graduate,0,6900000,22500000,18,403,6300000,Rejected,6300000,3.2608690926276678,3.5714280045352376
0,Graduate,1,2800000,7800000,10,405,3400000,Rejected,3400000,2.7857132908166817,2.2941169723185375
3,Graduate,1,6800000,19900000,10,516,8500000,Rejected,8500000,2.9264701578720356,2.3411761951557417
4,Not Graduate,1,600000,1800000,8,417,800000,Rejected,800000,2.9999950000083335,2.2499971875035154
1,Not Graduate,0,4700000,14000000,6,468,4600000,Rejected,4600000,2.978722770484517,3.043477599244
5,Graduate,1,3000000,11800000,10,672,4100000,Approved,4100000,3.9333320222226593,2.8780480785248588
5,Not Graduate,0,4000000,13900000,6,530,6000000,Rejected,6000000,3.4749991312502173,2.3166662805556197
1,Not Graduate,1,3100000,11300000,14,824,4400000,Approved,4400000,3.6451601144644794,2.568181234504265
1,Not Graduate,1,7700000,25500000,12,549,7000000,Rejected,7000000,3.3116878815989765,3.6428566224490537
5,Not Graduate,1,4300000,9300000,10,450,4100000,Rejected,4100000,2.1627901946999546,2.2682921296848466
1,Graduate,1,5800000,19500000,20,431,3300000,Rejected,3300000,3.3620683858502782,5.9090891184578425
3,Graduate,1,3600000,10700000,16,312,5200000,Rejected,5200000,2.9722213966051676,2.0576919119823245
0,Not Graduate,1,2900000,7600000,8,320,3100000,Rejected,3100000,2.6206887514866373,2.4516121123831898
0,Graduate,0,8800000,20200000,4,433,12400000,Rejected,12400000,2.2954542846074677,1.6290321266909575
1,Not Graduate,1,300000,1000000,10,431,100000,Rejected,100000,3.3333222222592593,9.99990000099999
5,Not Graduate,1,8600000,28900000,8,516,6800000,Rejected,6800000,3.3604647255273576,4.249999375000092
2,Not Graduate,1,3500000,12000000,14,476,2900000,Rejected,2900000,3.4285704489798716,4.13792960761048
5,Graduate,0,800000,2600000,6,560,1000000,Approved,1000000,3.249995937505078,2.5999974000026
2,Graduate,0,8000000,27100000,12,674,6400000,Approved,6400000,3.387499576562553,4.23437433837901
0,Not Graduate,1,9900000,38200000,6,573,5900000,Approved,5900000,3.8585854688297507,6.474575173800818
2,Not Graduate,0,3300000,6600000,6,331,2700000,Rejected,2700000,1.9999993939395775,2.4444435390949857
4,Graduate,1,2000000,6700000,12,633,2000000,Approved,2000000,3.3499983250008376,3.3499983250008376
3,Not Graduate,0,4900000,12900000,18,877,3300000,Approved,3300000,2.6326525239484644,3.909089724518265
5,Not Graduate,1,9200000,23600000,12,656,4900000,Approved,4900000,2.5652171124764007,4.816325547688664
0,Not Graduate,0,7500000,18200000,6,782,4100000,Approved,4100000,2.426666343111154,4.439023307555291
5,Not Graduate,0,9000000,29300000,4,531,5800000,Approved,5800000,3.2555551938272007,5.051723266944264
3,Not Graduate,0,1400000,4100000,8,455,2100000,Rejected,2100000,2.9285693367361882,1.9523800226761796
3,Graduate,0,9600000,19900000,14,452,6600000,Rejected,6600000,2.07291645073787,3.0151510583104457
2,Graduate,0,8400000,33200000,14,474,11500000,Rejected,11500000,3.9523804818594663,2.886956270699455
3,Not Graduate,0,6400000,24400000,4,483,4500000,Approved,4500000,3.812499404296968,5.422221017284218
4,Graduate,0,5900000,16800000,8,481,3300000,Rejected,3300000,2.8474571444987893,5.090907548209834
2,Graduate,1,2200000,5100000,20,859,3100000,Approved,3100000,2.318180764463289,1.6451607596255615
4,Graduate,1,5600000,14100000,14,696,6800000,Approved,6800000,2.5178566932398763,2.0735291068339547
4,Not Graduate,0,9800000,28700000,6,778,11100000,Approved,11100000,2.92857112973764,2.5855853526499684
4,Graduate,0,4400000,14600000,4,499,5700000,Approved,5700000,3.318181064049758,2.561403059402972
2,Not Graduate,1,2400000,4900000,4,888,3400000,Approved,3400000,2.0416658159725767,1.4411760467129275
1,Graduate,0,4400000,10800000,12,674,5300000,Approved,5300000,2.4545448966943417,2.037735464578214
4,Graduate,0,3700000,13200000,4,802,4300000,Approved,4300000,3.5675666033603775,3.069766727961226
4,Not Graduate,1,2300000,7800000,8,540,2800000,Rejected,2800000,3.391302873346577,2.7857132908166817
4,Graduate,1,5900000,19600000,8,726,8000000,Approved,8000000,3.3220333352485873,2.4499996937500383
4,Not Graduate,1,6400000,23500000,2,485,3900000,Approved,3900000,3.671874426269621,6.025639480605261
4,Graduate,1,4900000,17100000,6,612,5000000,Approved,5000000,3.4897952061642434,3.419999316000137
3,Not Graduate,1,9500000,24200000,8,879,12700000,Approved,12700000,2.5473681529086156,1.9055116609833338
2,Not Graduate,0,5700000,16400000,12,708,4400000,Approved,4400000,2.87719247768553,3.727271880165482
2,Not Graduate,1,2700000,5700000,8,850,3900000,Approved,3900000,2.1111103292183966,1.461538086785106
2,Not Graduate,1,3900000,11300000,12,516,4600000,Rejected,4600000,2.8974351545038064,2.4565212051040857
0,Not Graduate,0,7800000,28800000,12,465,7400000,Rejected,7400000,3.692307218934972,3.891891365960626
0,Graduate,0,1100000,3200000,20,716,1500000,Approved,1500000,2.9090882644652143,2.133331911112059
4,Not Graduate,0,200000,600000,10,404,0,Rejected,0,2.9999850000749997,600000.0
0,Not Graduate,1,4700000,10600000,20,512,7000000,Rejected,7000000,2.2553186690811344,1.5142854979592146
3,Not Graduate,1,8200000,20600000,10,441,6100000,Rejected,6100000,2.512194815585998,3.3770486267133397
2,Not Graduate,1,4600000,18400000,2,555,4200000,Approved,4200000,3.9999991304349716,4.380951337868729
5,Not Graduate,0,1800000,7000000,18,466,1900000,Rejected,1900000,3.888886728396262,3.684208587258638
3,Graduate,1,3200000,8600000,2,427,4700000,Rejected,4700000,2.6874991601565124,1.8297868447262033
4,Not Graduate,1,5500000,20000000,14,593,4900000,Approved,4900000,3.636362975206732,4.081631820075139
3,Graduate,0,7900000,18300000,10,731,8400000,Approved,8400000,2.3164554029803286,2.178571169217718
1,Graduate,1,4000000,10100000,16,451,3900000,Rejected,3900000,2.5249993687501577,2.589742925706942
3,Not Graduate,1,6800000,16900000,18,628,4900000,Approved,4900000,2.4852937521626837,3.4489788879634924
1,Not Graduate,0,2700000,9400000,18,704,2400000,Approved,2400000,3.481480192044373,3.9166650347229024
2,Not Graduate,0,6800000,23500000,12,341,8500000,Rejected,8500000,3.455881844723258,2.764705557093464
5,Graduate,0,8600000,21000000,8,465,9900000,Rejected,9900000,2.441860181179049,2.121211906948292
4,Graduate,0,8000000,30100000,4,431,11500000,Approved,11500000,3.7624995296875587,2.617391076748602
1,Graduate,1,3700000,12600000,10,424,4400000,Rejected,4400000,3.405404485025815,2.863635712810065
0,Graduate,0,2600000,5100000,14,678,3100000,Approved,3100000,1.961537707100882,1.6451607596255615
4,Graduate,0,4200000,16800000,6,381,5900000,Rejected,5900000,3.999999047619274,2.8474571444987893
5,Graduate,1,8000000,28000000,10,449,3900000,Rejected,3900000,3.499999562500055,7.179485338593503
1,Not Graduate,0,7100000,23500000,12,768,7300000,Approved,7300000,3.309858688752297,3.2191776412085424
0,Not Graduate,0,2000000,7000000,6,666,1400000,Rejected,1400000,3.499998250000875,4.999996428573979
4,Not Graduate,1,5800000,13300000,14,742,7000000,Approved,7000000,2.2931030529132665,1.8999997285714674
3,Not Graduate,1,6700000,15800000,4,445,9100000,Rejected,9100000,2.3582086032524474,1.7362635454655444
2,Graduate,0,7300000,28700000,14,634,10800000,Approved,10800000,3.9315063107525603,2.657407161351189
4,Not Graduate,0,3300000,9700000,14,782,2200000,Approved,2200000,2.939393048668773,4.409088904959589
0,Graduate,0,3000000,7000000,10,781,2700000,Approved,2700000,2.3333325555558146,2.5925916323734697
4,Not Graduate,0,7900000,17200000,14,318,9000000,Rejected,9000000,2.1772149142765933,1.9111108987654557
5,Not Graduate,0,7600000,24100000,18,721,7200000,Approved,7200000,3.171052214335235,3.3472217573303116
5,Not Graduate,0,3700000,9800000,4,563,3000000,Approved,3000000,2.648647932797856,3.2666655777781406
2,Not Graduate,0,8400000,26300000,4,419,6200000,Approved,6200000,3.130952008219999,4.241934799687936
0,Graduate,1,8200000,20800000,14,372,5200000,Rejected,5200000,2.5365850565140176,3.9999992307693786
0,Not Graduate,0,2900000,9500000,18,885,3500000,Approved,3500000,3.2758609393582967,2.714284938775732
1,Not Graduate,1,9900000,38400000,12,596,6800000,Approved,6800000,3.878787486991163,5.647057993079707
0,Graduate,0,4400000,14100000,2,349,6200000,Approved,6200000,3.2045447262398348,2.274193181581745
1,Not Graduate,1,9000000,32200000,16,468,10900000,Rejected,10900000,3.5777773802469577,2.9541281693460397
3,Not Graduate,1,6800000,26900000,16,818,7300000,Approved,7300000,3.955881771193857,3.6849310020642463
2,Not Graduate,0,8700000,28000000,12,543,6700000,Rejected,6700000,3.218390434667766,4.179103853865096
3,Graduate,0,9400000,21900000,16,685,5000000,Approved,5000000,2.329786986192874,4.379999124000175
3,Not Graduate,1,6000000,12500000,18,851,5000000,Approved,5000000,2.083332986111169,2.4999995000001
1,Not Graduate,1,9400000,29800000,10,377,11700000,Rejected,11700000,3.1702124287008053,2.5470083293155272
0,Not Graduate,1,1000000,4000000,10,620,1100000,Approved,1100000,3.999996000004,3.6363603305815175
3,Graduate,1,900000,2300000,20,611,500000,Approved,500000,2.5555527160525378,4.5999908000184
4,Not Graduate,0,2100000,7700000,4,767,1300000,Approved,1300000,3.666664920635752,5.92307236686741
5,Graduate,1,1100000,3200000,20,592,500000,Approved,500000,2.9090882644652143,6.3999872000256
0,Graduate,1,600000,2300000,4,319,700000,Approved,700000,3.8333269444550924,3.2857095918434402
4,Not Graduate,1,9200000,25500000,10,900,12800000,Approved,12800000,2.771738829158823,1.9921873443603637
2,Not Graduate,1,3600000,12800000,18,814,4100000,Approved,4100000,3.555554567901509,3.121950458060864
5,Not Graduate,1,1300000,5000000,10,755,1900000,Approved,1900000,3.8461508875762402,2.6315775623275988
5,Graduate,1,7700000,16800000,20,584,8000000,Approved,8000000,2.181817898465208,2.099999737500033
4,Graduate,1,9500000,23500000,14,380,7300000,Rejected,7300000,2.4736839501385317,3.2191776412085424
2,Not Graduate,1,5000000,17600000,20,465,5200000,Rejected,5200000,3.5199992960001407,3.3846147337279358
0,Not Graduate,0,500000,1800000,2,531,700000,Approved,700000,3.5999928000144,2.5714248979644316
1,Graduate,1,8300000,32100000,16,814,7500000,Approved,7500000,3.867469413557902,4.27999942933341
0,Graduate,0,5300000,17900000,6,678,3600000,Approved,3600000,3.3773578533287067,4.972220841049767
2,Not Graduate,1,9300000,29000000,12,655,4900000,Approved,4900000,3.1182792345936305,5.918366139108951
3,Not Graduate,0,2300000,7400000,2,682,2100000,Approved,2100000,3.2173899054826496,3.5238078458057878
1,Not Graduate,0,400000,1300000,6,695,100000,Approved,100000,3.2499918750203123,12.999870001299987
3,Not Graduate,0,3200000,10800000,4,833,2600000,Approved,2600000,3.3749989453128295,4.153844556213632
5,Not Graduate,1,9400000,35300000,16,302,12900000,Rejected,12900000,3.7553187494341755,2.7364338964004733
1,Graduate,0,2300000,6600000,2,357,2200000,Rejected,2200000,2.869563969754796,2.999998636364256
5,Not Graduate,0,4300000,14500000,12,302,5100000,Rejected,5100000,3.3720922390483166,2.843136697424177
0,Graduate,1,6200000,22400000,18,873,8200000,Approved,8200000,3.612902643080219,2.7317069839381727
0,Not Graduate,1,7200000,19800000,12,658,7300000,Approved,7300000,2.7499996180556088,2.7123283955714528
5,Graduate,1,2400000,8700000,18,877,1100000,Approved,1100000,3.624998489583963,7.909083719014801
3,Not Graduate,0,2900000,6300000,8,648,1400000,Approved,1400000,2.172413043995502,4.499996785716582
1,Graduate,0,1400000,5200000,12,730,700000,Approved,700000,3.714283061226385,7.428560816341691
4,Not Graduate,1,2200000,8200000,14,737,1400000,Approved,1400000,3.727271033058621,5.8571386734723765
2,Graduate,1,800000,3200000,10,584,700000,Rejected,700000,3.99999500000625,4.571422040825656
0,Graduate,0,600000,1700000,2,621,200000,Approved,200000,2.8333286111189815,8.4999575002125
4,Graduate,1,700000,2700000,16,583,300000,Approved,300000,3.8571373469466472,8.9999700001
2,Not Graduate,0,8400000,25900000,16,621,4200000,Approved,4200000,3.083332966269885,6.166665198413048
2,Not Graduate,0,7100000,21500000,16,610,9300000,Approved,9300000,3.028168587581889,2.3118277084056227
4,Graduate,0,5400000,15700000,18,452,6600000,Rejected,6600000,2.907406868998728,2.3787875183655274
5,Graduate,0,3700000,7300000,18,339,5300000,Rejected,5300000,1.9729724397371784,1.3773582306871264
3,Graduate,1,5200000,15200000,16,650,4100000,Approved,4100000,2.9230763609468537,3.707316168947276
4,Not Graduate,1,200000,700000,10,672,300000,Approved,300000,3.4999825000874996,2.3333255555814816
3,Graduate,0,500000,1000000,20,501,200000,Rejected,200000,1.999996000008,4.999975000125
2,Not Graduate,1,1800000,5700000,4,809,2400000,Approved,2400000,3.166664907408385,2.374999010417079
5,Graduate,1,9200000,29400000,8,318,5400000,Rejected,5400000,3.195651826559584,5.444443436214178
4,Not Graduate,0,900000,3300000,10,649,1200000,Approved,1200000,3.6666625925971195,2.749997708335243
3,Not Graduate,0,7500000,28300000,12,367,7000000,Rejected,7000000,3.7733328302222895,4.042856565306205
5,Not Graduate,0,3000000,11800000,6,847,2300000,Approved,2300000,3.9333320222226593,5.130432551985847
5,Graduate,0,7100000,18900000,12,360,8500000,Rejected,8500000,2.6619714560603582,2.223529150173041
1,Graduate,1,3500000,7200000,2,865,4200000,Approved,4200000,2.057142269387923,1.7142853061225463
4,Not Graduate,0,4900000,18800000,16,880,2600000,Approved,2600000,3.8367339108706306,7.230766449705212
1,Graduate,0,4100000,8400000,20,608,4400000,Approved,4400000,2.0487799881024418,1.9090904752067102
0,Graduate,1,800000,2100000,6,760,600000,Approved,600000,2.6249967187541015,3.4999941666763887
3,Graduate,1,1700000,4600000,12,385,1700000,Rejected,1700000,2.705880761246611,2.705880761246611
0,Graduate,1,6100000,23300000,12,478,4900000,Rejected,4900000,3.8196715049718843,4.7551010703875365
1,Graduate,1,2100000,7700000,16,327,2300000,Rejected,2300000,3.666664920635752,3.347824631380595
0,Graduate,0,3100000,9300000,6,663,3800000,Approved,3800000,2.9999990322583767,2.4473677770084796
2,Not Graduate,1,1700000,3500000,20,693,1700000,Approved,1700000,2.058822318339813,2.058822318339813
3,Graduate,0,1700000,5400000,6,710,1700000,Approved,1700000,3.1764687197242827,3.1764687197242827
4,Not Graduate,1,4000000,14500000,6,711,4100000,Approved,4100000,3.6249990937502266,3.5365845032720724
5,Graduate,0,5600000,18400000,8,386,5600000,Rejected,5600000,3.2857136989796967,3.2857136989796967
4,Graduate,1,3900000,11900000,10,855,2800000,Approved,2800000,3.0512812689022386,4.2499984821434
4,Graduate,1,6100000,15300000,14,573,8400000,Approved,8400000,2.5081963101317526,1.8214283545918626
0,Graduate,1,1100000,2800000,18,431,1400000,Rejected,1400000,2.5454522314070624,1.9999985714295918
2,Graduate,0,5500000,14800000,8,364,4500000,Rejected,4500000,2.6909086016529815,3.2888881580248537
4,Graduate,1,1100000,3600000,14,711,600000,Approved,600000,3.2727242975233657,5.999990000016667
4,Not Graduate,1,400000,900000,20,771,500000,Approved,500000,2.2499943750140625,1.7999964000072
3,Graduate,0,9200000,36400000,18,669,12300000,Approved,12300000,3.9565213090737705,2.9593493528984265
4,Not Graduate,1,9300000,27500000,18,338,6600000,Rejected,6600000,2.956988929356029,4.166666035353631
1,Graduate,0,1100000,3500000,8,562,500000,Approved,500000,3.181815289258828,6.999986000028
3,Not Graduate,0,5600000,18700000,2,769,4800000,Approved,4800000,3.3392851179848004,3.895832521701558
0,Graduate,1,6300000,21500000,8,629,5200000,Approved,5200000,3.4126978710003377,4.134614589497194
3,Graduate,0,8800000,18100000,6,699,9400000,Approved,9400000,2.0568179480888698,1.9255317100498182
0,Not Graduate,0,8400000,20800000,20,590,10800000,Approved,10800000,2.4761901814059306,1.9259257475994678
3,Graduate,1,1600000,5700000,4,707,2300000,Approved,2300000,3.5624977734388916,2.47825979206096
3,Not Graduate,1,4500000,11400000,8,391,4500000,Rejected,4500000,2.5333327703704955,2.5333327703704955
5,Not Graduate,0,6500000,18500000,4,891,7100000,Approved,7100000,2.846153408284091,2.6056334358262765
3,Graduate,1,9500000,20600000,2,731,9200000,Approved,9200000,2.1684208243767555,2.239130191398892
3,Not Graduate,0,4700000,16700000,12,775,3500000,Approved,3500000,3.5531907333636736,4.771427208163654
5,Graduate,1,9600000,32400000,2,897,6200000,Approved,6200000,3.3749996484375364,5.225805608741031
5,Graduate,0,8000000,26700000,20,794,7800000,Approved,7800000,3.337499582812552,3.4230764842209638
2,Graduate,0,7700000,16700000,6,555,8500000,Approved,8500000,2.1688308871648196,1.9647056512110999
1,Not Graduate,1,3600000,10300000,12,536,2700000,Rejected,2700000,2.8611103163582454,3.8148134019209623
2,Not Graduate,0,700000,1700000,10,839,900000,Approved,900000,2.4285679591886296,1.8888867901257886
0,Graduate,1,1400000,5100000,6,890,1900000,Approved,1900000,3.642854540818185,2.6842091135741506
1,Graduate,1,8600000,27900000,20,415,7900000,Rejected,7900000,3.244185669280736,3.531645122576567
4,Graduate,0,4700000,15700000,4,868,4800000,Approved,4800000,3.3404248211862084,3.2708326519098643
